,btc,#BTC,ethereum,eth,bitcoin
2012-01-01,0.050566255461321,0.07119655172413793,,0.18567015706806284,0.09683796791443851
2012-01-02,0.028214396509936984,0.1404304347826087,,0.08151284722222223,0.033077617328519854
2012-01-03,0.0425451536643026,0.16101304347826087,,0.1149210355987055,0.09212650602409639
2012-01-04,0.04100006381620932,0.08135081967213115,,0.09265794701986756,0.10164333333333334
2012-01-05,0.04731853118712274,0.005024637681159422,,0.14904798850574713,0.1324774058577406
2012-01-06,0.0706282428115016,0.08983055555555555,,0.07181891891891892,0.10231766666666667
2012-01-07,0.06482635241301908,0.10028666666666666,,0.10469898648648648,0.08376631578947369
2012-01-08,0.04053142572779298,0.061341463414634145,,0.1312422131147541,0.09716978723404256
2012-01-09,0.06378892119802268,0.09465312499999999,,0.12876813186813188,0.168765
2012-01-10,0.040660603543743075,0.16734444444444443,,0.11366934865900383,0.18618535564853556
2012-01-11,0.07736099493029151,0.10842978723404255,,0.06510460992907802,0.1517451768488746
2012-01-12,0.07188007825236388,0.08894883720930233,,0.07712861635220125,0.12617879924953096
2012-01-13,0.061077002251527825,0.186740625,,0.10527455621301775,0.11743814432989691
2012-01-14,0.06724584944956859,0.18252567567567568,,0.09103554006968641,0.15919964028776978
2012-01-15,0.07881121049493142,0.14029302325581394,,0.07425263157894738,0.24866955835962146
2012-01-16,0.05409447141316073,0.07964473684210525,,0.06287661870503597,0.30293767123287674
2012-01-17,0.03646858269935193,0.11495185185185185,,0.06110095238095238,0.27947930672268906
2012-01-18,0.09612670261066969,0.03814047619047619,,0.09024692556634305,0.20511087613293053
2012-01-19,0.06558108680310515,0.17475757575757575,,0.11360818181818182,0.18266026490066226
2012-01-20,0.05581929097605893,0.03854857142857143,,0.08965894428152493,0.12509765625
2012-01-21,0.05426048066875653,0.09344545454545454,-0.765,0.126077304964539,0.1542979057591623
2012-01-22,0.060454738920579204,0.23967894736842105,,0.07630766129032258,0.1261081712062257
2012-01-23,0.04022259442446043,0.040808,,0.1084576802507837,0.17992629482071712
2012-01-24,0.05425149960536701,0.05320333333333334,0.4404,0.07873705882352941,0.09001299734748011
2012-01-25,0.05157434036939314,0.09775806451612903,,0.08968757575757576,0.10713396226415094
2012-01-26,0.0563519588090441,0.1796608695652174,,0.06894645161290322,0.09668216374269006
2012-01-27,0.06049456936784048,0.08695416666666667,,0.08097404580152671,0.11369368421052632
2012-01-28,0.054142748588797224,-0.02791481481481481,,0.08946099290780142,0.11249333333333333
2012-01-29,0.037935123793537556,0.158009756097561,,0.12567761732851987,0.12371894409937888
2012-01-30,0.053607269897732325,0.14070357142857143,,0.09861470588235294,0.08856925
2012-01-31,0.05260282722513089,0.09248181818181819,,0.10402952380952381,0.07959373297002725
2012-02-01,0.04768534221683828,0.08796666666666667,,0.06578482972136222,0.10460985915492958
2012-02-02,0.04283769649334945,0.07282105263157895,,0.07271583577712609,0.1490502487562189
2012-02-03,0.03927685301507538,0.2614558139534884,,0.11285302491103202,0.11458123456790123
2012-02-04,0.054005201938610664,0.10727058823529412,0.0,0.15483390410958905,0.14050973154362417
2012-02-05,0.07502103773584906,0.275428,,0.08458982035928143,0.07740886850152905
2012-02-06,0.07389463370515527,0.1868892857142857,0.0,0.0597964,0.0773404605263158
2012-02-07,0.04726901877649909,0.207344,,0.12206590909090909,0.16156579520697167
2012-02-08,0.05377050138418948,0.18398333333333333,0.0,0.08848316062176166,0.09348093922651934
2012-02-09,0.04900850546780073,0.07594827586206897,,0.11774896373056995,0.06139969040247678
2012-02-10,0.061932420494699644,0.1187,,0.1101062015503876,0.05566896551724138
2012-02-11,0.06618386119526301,0.04751578947368421,,0.07512673796791444,0.056830980392156866
2012-02-12,0.09501211037301993,0.16635652173913043,,0.1336797752808989,0.06373514492753624
2012-02-13,0.06193548482169172,0.14841363636363636,0.34,0.08957697160883281,0.04305459459459459
2012-02-14,0.08429532085561497,0.12794,,0.11936750700280112,0.06583663220088626
2012-02-15,0.05907307213930348,0.1572625,,0.083278125,-0.09745950540958269
2012-02-16,0.03687644764476448,0.13894411764705883,,0.10442533936651584,0.015881753554502373
2012-02-17,0.039238300349243305,0.166645,,0.13118489208633094,-0.006457458563535908
2012-02-18,0.045160704803282645,0.04501666666666666,,0.08911173020527859,0.026776404494382025
2012-02-19,0.03920581339712919,0.2100609756097561,,0.13502752808988763,0.057628975265017666
2012-02-20,0.041201173512154236,-0.032583333333333325,,0.11153055555555555,0.023290339425587468
2012-02-21,0.022188110364857506,0.055216,,0.10246770186335404,0.03049542253521127
2012-02-22,0.029276058756199923,0.16923214285714286,,0.08545282555282556,0.10817106741573033
2012-02-23,0.02914635499207607,0.2264,,0.09966916426512969,0.08239754901960784
2012-02-24,0.02950678828275741,0.12101,,0.08639664082687339,0.05314
2012-02-25,0.027525845824411133,0.09377999999999999,,0.10275406360424029,0.05628691983122363
2012-02-26,0.04138707726763718,0.06477391304347825,,0.10620961538461539,0.07871176470588236
2012-02-27,0.03317811059907834,0.11066000000000001,,0.12616546961325967,0.10846319018404908
2012-02-28,0.02254027076640661,0.04679736842105263,,0.1279700808625337,0.06866891891891892
2012-02-29,0.02877323340471092,0.10220434782608695,-0.3566,0.11440567375886525,0.15067472527472528
2012-03-01,0.030290482573726542,-0.0022976190476190475,,0.16006,0.10494639175257732
2012-03-02,0.02648658393818778,0.11671363636363637,,0.10790938271604938,0.06006426426426426
2012-03-03,0.042890258365099534,0.047999999999999994,,0.12617035830618892,-0.14081235772357725
2012-03-04,0.036876277702397105,0.21567857142857144,,0.09103425692695215,0.07914623655913978
